column_name,type
CLIENTNUM,numerical
Attrition_Flag,categorical
Customer_Age,categorical
Gender,categorical
Dependent_count,categorical
Education_Level,categorical
Marital_Status,categorical
Income_Category,categorical
Card_Category,categorical
Months_on_book,categorical
Total_Relationship_Count,categorical
Months_Inactive_12_mon,categorical
Contacts_Count_12_mon,categorical
Credit_Limit,numerical
Total_Revolving_Bal,categorical
Avg_Open_To_Buy,numerical
Total_Amt_Chng_Q4_Q1,categorical
Total_Trans_Amt,numerical
Total_Trans_Ct,categorical
Total_Ct_Chng_Q4_Q1,categorical
Avg_Utilization_Ratio,categorical
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,categorical
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,categorical
